P_VOC,P_LEN,P_VOL,P_DIFF,P_EFFO,E_TIME,NO_ERR,NO_LOP,NO_KEY,NO_CON,NO_LIN,NO_OPE,NO_OPA,NO_COM,STATUS
22,177,789.3193964988017,31.28125,24690.89737172814,1371.7165206515633,0.26310646549960054,1,15,0,31,86,91,0,4
22,144,642.1581530837708,20.625,13244.511907352773,735.8062170751541,0.21405271769459028,4,5,1,32,69,75,0,3
24,266,1219.6000251918279,45.33333333333333,55288.53447536286,3071.58524863127,0.4065333417306093,8,6,2,48,130,136,4,4
22,117,521.7534993805638,20.058823529411764,10465.761369927779,581.43118721821,0.17391783312685458,2,6,1,30,55,62,3,3
14,44,167.52361657053456,6.730769230769231,1127.5628038401364,62.64237799111869,0.05584120552351152,0,5,0,11,19,25,0,2
24,95,435.5714375685099,22.714285714285715,9893.694081913296,549.6496712174053,0.1451904791895033,0,7,1,26,42,53,0,3
18,34,141.7774500490386,6.75,956.9977878310106,53.166543768389474,0.0472591500163462,0,4,0,8,16,18,0,0
18,41,170.9669250591348,7.615384615384615,1301.9788908349497,72.33216060194165,0.056988975019711605,0,5,0,13,19,22,1,1
30,96,471.06149717841777,19.166666666666664,9028.678695919672,501.59326088442623,0.1570204990594726,1,5,1,18,50,46,0,2
30,116,569.1993090905881,21.375,12166.635231811322,675.9241795450735,0.18973310303019605,1,7,1,22,59,57,0,3
30,408,2002.0113630082756,74.6590909090909,149468.34835186784,8303.797130659324,0.6673371210027585,16,15,1,70,189,219,7,4
24,266,1219.6000251918279,45.33333333333333,55288.53447536286,3071.58524863127,0.4065333417306093,8,6,2,48,130,136,4,4
26,96,451.2422129415449,20.64705882352941,9316.82451426366,517.6013619035367,0.15041407098051496,0,13,1,24,42,54,0,3
24,105,481.42106257572146,26.30769230769231,12665.077184684365,703.6153991491315,0.1604736875252405,0,12,1,28,48,57,0,3
26,184,864.880908137961,36.5625,31622.2082037942,1756.7893446552332,0.288293636045987,6,2,1,36,94,90,0,4
26,76,357.23341857872305,20.583333333333332,7353.0545324120485,408.5030295784471,0.11907780619290768,0,3,0,12,38,38,0,1
24,106,486.00602507644265,15.789473684210527,7673.779343312253,426.3210746284585,0.16200200835881423,1,4,0,22,56,50,0,3
22,75,334.4573713977973,19.8,6622.255953676387,367.90310853757705,0.11148579046593243,0,3,0,19,39,36,0,3
20,56,242.0279733136923,9.333333333333334,2258.927750927795,125.49598616265527,0.08067599110456411,0,2,0,12,28,28,0,2
26,248,1165.709050098991,37.52272727272727,43740.58276621441,2430.0323759008006,0.3885696833663303,9,3,0,42,121,127,0,4
24,139,637.3097876002408,24.75,15773.417243105961,876.3009579503312,0.21243659586674696,2,4,2,31,73,66,0,3
24,80,366.79700005769257,14.625,5364.406125843754,298.02256254687524,0.12226566668589753,0,3,0,13,41,39,0,2
